item_name,price,image_url
                  Morrisons Market St Salmon Fillets                                  220g                 ,               £4              ,https://groceries.morrisons.com/productImages/403/403510011_0_150x150.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae
                  Morrisons The Best Pork Chipolatas 12 Pack                                  375g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/121/121932011_0_150x150.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5
                  Morrisons Market St British Sirloin Steak                                  200g                 ,               £3.50              ,https://groceries.morrisons.com/productImages/408/408297011_0_150x150.jpg?identifier=a380040876af074dd1baa1837997411f
                  Morrisons The Best Thick Pork Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/121/121931011_0_150x150.jpg?identifier=424bfdf738324c60dc5260ff800496d3
                  Morrisons Chicken Thigh Fillets Boneless                                  600g                 ,               £2.69              ,https://groceries.morrisons.com/productImages/252/252637011_0_150x150.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb
                  Morrisons The Best Pork Sausage Meat                                  400g                 ,               £1.50              ,https://groceries.morrisons.com/productImages/352/352852011_0_150x150.jpg?identifier=d04408d26fa591d96d20ed4b2dffa9f3
                  Morrisons The Best Hampshire Breed…                                  200g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/386/386033011_0_150x150.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4
                  Morrisons Spring Lamb Leg Roast Fillet                                  Typically: 850g                 ,               £5.09              ,https://groceries.morrisons.com/productImages/297/297704011_0_150x150.jpg?identifier=af519cba36be4225ab3a425fc467b9f6
                  Morrisons The Best 6 Hampshire Unsmok…                                  200g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/212/212572011_0_150x150.jpg?identifier=99ae29c655b266a36bef625bf09c781c
                  Morrisons 2 Garlic Breaded Chicken Kievs                                  260g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/116/116605011_0_150x150.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f
                  Morrisons The Best Thick Cumberland Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/211/211114011_0_150x150.jpg?identifier=a835145e99dae4847ce7d6d789540c6d
                  Morrisons Breaded Chicken Goujons                                  270g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/116/116603011_0_150x150.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130
                  Morrisons The Best Thick Old English Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/116/116088011_0_150x150.jpg?identifier=f5df11df0d247794da9e9fee1aca1348
                  Morrisons Frozen  Cooked & Peeled Large Prawns                                  250g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355922011_0_150x150.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079
                  Morrisons The Best Dry Cured Smoked Streaky Bacon                                  210g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/507/507969011_0_150x150.jpg?identifier=57a8a53c4772c985615198b48e6c59ee
                  Morrisons Chicken Thigh Fillets Boneless                                  1kg                 ,               £3.99              ,https://groceries.morrisons.com/productImages/370/370409011_0_150x150.jpg?identifier=0f60f676640d567822116725ec491d69
                  Morrisons The Best Cumberland C…                                  375g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/121/121933011_0_150x150.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c
                  Morrisons The Best Hampshire Breed Dr…                                  200g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/405/405458011_0_150x150.jpg?identifier=20a49366ea08ef4801f893a30c107db0
                  Spoiltpig Unsmoked Dry Cured Back Bacon Rashers                                  184g                 ,               £2.75              ,https://groceries.morrisons.com/productImages/116/116149011_0_150x150.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee
                  Spoiltpig Smoked Dry Cured Back Bacon Rashers                                  184g                 ,               £2.75              ,https://groceries.morrisons.com/productImages/116/116150011_0_150x150.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4
                  Morrisons The Best Thick Lincolnshire Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/210/210900011_0_150x150.jpg?identifier=2baaed2f89604598623a42866670dc71
                  Morrisons Southern Fried Chicken Goujons                                  270g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/116/116604011_0_150x150.jpg?identifier=00fc4bd27485f2115b1a02eb094e270e
                  Morrisons Whole Spring Lamb Leg Roast                                  Typically: 2.25kg                 ,               £13.50              ,https://groceries.morrisons.com/productImages/213/213606011_0_150x150.jpg?identifier=19852b35209809a496c672c541913341
"                  Morrisons The Best Salmon,Smoke…                                  290g                 ",               £2.60              ,https://groceries.morrisons.com/productImages/293/293824011_0_150x150.jpg?identifier=f38fef35c20307c28665212badd5dbd0
                  Morrisons Market St 2 Cod Fillets                                  230g                 ,               £4              ,https://groceries.morrisons.com/productImages/482/482598011_0_150x150.jpg?identifier=352f8e6910eb2f83d4316b2677ac9973
                  Morrisons 2 Cheese & Ham Breaded Chicken Kievs                                  260g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/116/116606011_0_150x150.jpg?identifier=0fa647c2b1d59dc9b1e92fb9d7f95b8d
                  Morrisons Market St Seabass Fillets                                  180g                 ,               £4              ,https://groceries.morrisons.com/productImages/405/405432011_0_150x150.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0
                  Morrisons Breaded Chicken Bites                                  255g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/261/261938011_0_150x150.jpg?identifier=66df14160215770b56e8f7eb82910819
                  Morrisons Market St 2 Smoked Haddock Portions                                  220g                 ,               £4              ,https://groceries.morrisons.com/productImages/482/482595011_0_150x150.jpg?identifier=649e1e05f3b01617f71bb6ace7519093
                  Morrisons Market St British Lean Diced Beef                                  750g                 ,               £5              ,https://groceries.morrisons.com/productImages/425/425316011_0_150x150.jpg?identifier=3313d6af2fc8e40312b06695f21c1eb0
