item name,Typical Values,nutrition_per_unit,unit,nutrition_per_purchase,"nutrition_per_purchase(kcal,g)"
Lake District 8 Mature Cheddar Slices 160g,Energy ,1725kJ/416kcal,1.6,416,665.6
Lake District 8 Mature Cheddar Slices 160g,Fat ,34.9g,1.6,34.9,55.84
Lake District 8 Mature Cheddar Slices 160g, of which saturates ,21.7g,1.6,21.7,34.72
Lake District 8 Mature Cheddar Slices 160g,Carbohydrate ,0.1g,1.6,0.1,0.16000000000000003
Lake District 8 Mature Cheddar Slices 160g, of which sugars ,0.1g,1.6,0.1,0.16000000000000003
Lake District 8 Mature Cheddar Slices 160g,Protein ,25.4g,1.6,25.4,40.64
Lake District 8 Mature Cheddar Slices 160g,Salt ,1.81g,1.6,1.81,2.8960000000000004
Lake District 8 Mature Cheddar Slices 160g,Calcium ,739mg (92% RI *),1.6,0.739,1.1824000000000001
Morrisons Market St British Bavette Steak  350g,Energy ,730kJ/175kcal,3.5,175,612.5
Morrisons Market St British Bavette Steak  350g,Fat ,9.3g,3.5,9.3,32.550000000000004
Morrisons Market St British Bavette Steak  350g, of which saturates ,3.8g,3.5,3.8,13.299999999999999
Morrisons Market St British Bavette Steak  350g,Carbohydrate ,nil,3.5,0,0.0
Morrisons Market St British Bavette Steak  350g, of which sugars ,nil,3.5,0,0.0
Morrisons Market St British Bavette Steak  350g,Fibre ,nil,3.5,0,0.0
Morrisons Market St British Bavette Steak  350g,Protein ,22.7g,3.5,22.7,79.45
Morrisons Market St British Bavette Steak  350g,Salt ,0.16g,3.5,0.16,0.56
Morrisons Market St Cooked Cockles 200G 200g,Energy ,226kJ/53kcal,2.0,53,106.0
Morrisons Market St Cooked Cockles 200G 200g,Fat ,0.6g,2.0,0.6,1.2
Morrisons Market St Cooked Cockles 200G 200g,of which saturates ,0.2g,2.0,0.2,0.4
Morrisons Market St Cooked Cockles 200G 200g,Carbohydrate ,nil,2.0,0,0.0
Morrisons Market St Cooked Cockles 200G 200g,of which sugars ,nil,2.0,0,0.0
Morrisons Market St Cooked Cockles 200G 200g,Fibre ,nil,2.0,0,0.0
Morrisons Market St Cooked Cockles 200G 200g,Protein ,12g,2.0,12,24.0
Morrisons Market St Cooked Cockles 200G 200g,Salt ,1.23g,2.0,1.23,2.46
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Energy: kJ/kcal,895/214,3.0,214,642.0
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Fat ,10.0g,3.0,10.0,30.0
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g, of which saturates ,2.2g,3.0,2.2,6.6000000000000005
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Carbohydrate ,26.1g,3.0,26.1,78.30000000000001
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g, of which sugars ,0.5g,3.0,0.5,1.5
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Fibre ,2.3g,3.0,2.3,6.8999999999999995
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Protein ,3.7g,3.0,3.7,11.100000000000001
Mash Direct Potoatoe & Cheese & Onion  Croquette 300g,Salt ,0.7g,3.0,0.7,2.0999999999999996
Morrisons Pineapple & Melon Fingers  240g,Energy ,133kJ/32kcal,2.4,32,76.8
