item name,Energy(kcal),Fat(g),Saturated_fat(g),Carbohydrate(g),of_which_sugars(g),Fibre(g),Protein(g),Salt(g)
Actimel 0% Fat Strawberry Yogurt Drinks 8 x 100g,216.0,0.8,0.0,25.6,24.0,1.6,20.8,0.88
Actimel Multifruit Yogurt Drinks 8 x 100g,632.0,12.0,8.0,104.0,104.0,0.0,22.4,0.8
Actimel Strawberry Yogurt Drink 8 x 100g,608.0,12.0,8.0,96.0,96.0,0.0,22.4,0.8
Activia Rhubarb 4 x 120g,432.0,13.6,9.6,58.4,58.4,0.0,18.4,0.72
Activia Strawberry 4 x 120g,428.0,13.6,9.6,56.8,56.8,0.0,18.8,0.68
Ainsley Harriot Chilli Cous Cous 100g,270.0,2.4,0.4,50.6,4.6,4.0,9.8,1.33
Ainsley Harriot Morrocan Cous Cous 100g,274.0,3.0,0.2,50.2,6.0,3.8,9.6,1.38
Ainsley Harriot Roast Vegetable Cous Cous 100g,272.0,2.4,0.4,51.0,4.4,3.8,9.6,1.2
Ainsley Harriot Spice Sensations Cous Cous 100g,274.0,3.2,0.4,49.0,4.6,4.0,10.0,1.5
Ainsley Harriot Thai Cous Cous 100g,274.0,2.8,0.4,50.8,4.2,3.8,9.6,1.54
Ainsley Harriot Tomato Cous Cous 100g,134.0,1.1,0.1,25.2,2.8,1.9,4.7,0.71
Ainsley Harriot Wild Mushroom Cous Cous 100g,268.0,2.2,0.2,50.8,2.8,3.6,9.6,1.56
Ainsley Harriott Caribbean Cous Cous 100g,370.0,6.4,1.2,64.0,7.0,4.6,12.6,1.4
Albert Bartlett Rooster Potatoes  2kg,1500.0,2.0,0.0,320.0,16.0,32.0,36.0,0.0
Allinson's Strong White Bread Flour 1.5kg,5220.0,25.5,4.5,1050.0,7.5,49.5,180.0,0.45
Alpro Fresh Almond Unsweetened Milk Alternative 1L,130.0,11.0,1.0,0.0,0.0,4.0,4.0,1.3
Alpro Long Life Almond Unsweetened Milk Alternative  1L,130.0,11.0,1.0,0.0,0.0,3.0,4.0,1.4
Ambrosia Devon Custard 400g,375.0,11.4,6.0,57.6,41.4,0.0,10.8,0.42
Ambrosia Devon Custard 6 x Servings 750g,727.5,21.75,11.25,112.5,81.75,0.0,21.0,0.82
Ambrosia Devon Rice Pudding 400g,384.0,8.8,5.2,63.2,35.6,0.0,12.8,0.5
Ambrosia Light Devon Custard 400g,303.0,7.8,3.9,47.1,28.8,0.0,11.4,0.48
Amoy Straight to Wok Medium Noodles 2 x 150g,454.0,4.2,0.8,82.0,1.8,5.4,19.2,1.2
Amoy Straight to Wok Thread Fine Noodles 2 x 150g,386.0,4.6,0.8,67.4,0.6,4.6,16.6,0.6
Arla Best of Both Milk 2L,830.0,8.0,2.0,98.0,98.0,0.0,91.0,2.3
Arla skyr Fat Free Natural Yogurt 450g,285.0,0.0,0.6,18.0,18.0,0.0,47.7,0.63
Bahlsen Choco Leibniz Dark Chocolate Biscuits 125g,622.5,31.25,20.0,72.5,41.25,0.0,9.0,0.66
Bahlsen Choco Leibniz Milk Chocolate Biscuits 125g,631.25,31.25,20.0,76.25,51.25,0.0,9.38,0.8
Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,320.0,4.3,2.4,58.5,6.7,1.6,11.1,2.17
Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,309.0,1.6,0.4,64.8,6.7,1.2,8.3,1.9
Batchelors Big Super Noodles Chicken 100g,471.0,19.9,10.1,62.7,5.0,3.1,8.7,2.22
Batchelors Bigga Marrowfat Peas (300g) 180g,152.0,1.0,0.2,21.2,3.0,9.0,10.0,0.82
Batchelors Chip Shop Mushy Peas 300g,261.0,1.2,0.6,39.3,4.2,11.7,17.7,1.35
Batchelors Original Style Mushy Peas 300g,261.0,1.2,0.6,39.3,4.2,11.7,17.7,1.35
Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,114.84,1.68,0.79,20.2,2.38,0.69,4.36,0.57
"Batchelors Pasta 'N' Sauce Cheese, Leek & Ham Flavour 99g",428.0,7.0,3.6,73.6,11.0,2.2,16.4,2.34
Batchelors Pasta 'N' Sauce Chicken & Mushroom Flavour 99g,416.0,3.6,1.4,79.4,9.6,2.2,15.0,1.72
Batchelors Pasta 'N' Sauce Chicken & Mushroom Pot 65g,239.0,1.1,0.3,50.7,5.1,1.0,6.1,1.45
Batchelors Pasta 'N' Sauce Mac 'N' Cheese 99g,428.0,7.0,3.6,72.6,10.6,2.2,17.8,1.94
Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,246.0,3.4,1.8,44.7,6.4,1.0,8.6,1.89
Batchelors Pasta'N'Sauce American Mac'N'Cheese Garlic Mushroom 99g,428.0,6.6,3.2,75.6,12.0,2.2,15.4,2.3
Batchelors Super Noodles BBQ Beef Pot 75g,354.0,15.2,7.6,46.5,3.8,2.2,6.7,1.49
Batchelors Super Noodles Bacon Flavour 90g,438.0,18.8,9.0,56.2,1.2,3.4,9.2,1.18
Batchelors Super Noodles Bbq Beef Flavour 90g,438.0,18.8,9.0,56.6,0.0,3.4,9.0,1.18
Batchelors Super Noodles Chicken Flavour 90g,438.0,18.8,9.0,56.6,1.4,3.4,8.8,1.4
Batchelors Super Noodles Chicken Pot 75g,353.0,14.9,7.5,47.0,3.8,2.3,6.5,1.67
Batchelors Super Rice & Sauce Mild Curry Flavour 60g,220.0,2.9,1.7,42.4,5.1,2.0,4.9,1.37
Bisto  Beef Gravy Granules 170g,674.9,27.71,19.04,101.66,20.74,3.57,2.89,24.36
Bisto Reduced Salt Gravy Granules 170g,673.2,24.65,17.34,106.42,42.84,5.44,3.57,17.51
Bleikers Yorkshire Peat Salmon 100g,166.0,6.6,1.6,0.0,0.3,0.0,26.6,3.8
Boursin Cheese with Garlic & Herbs 150g,592.5,58.5,39.0,4.5,3.0,0.0,12.0,1.8
Branston Baked Beans 4 x 410g,700.0,4.8,1.2,102.4,38.4,48.4,37.6,4.96
Bury Black Pudding Slices 230g,278.3,5.75,2.05,42.78,1.77,0.0,17.48,3.38
Butterkist Cinema Sweet Popcorn 100g 100g,526.0,25.9,2.0,65.2,32.8,5.8,5.2,0.01
Cadbury Crunchie Chocolate Bar 4 Pack 4 x 32g,488.0,18.0,10.4,76.0,68.0,1.2,3.2,0.76
Cadbury Dairy Milk Buttons Twin Pot  85g,221.0,11.8,7.2,25.0,22.3,1.0,4.1,0.14
Cadbury Dairy Milk Chocolate Bar 4 Pack 4 x 36g,768.0,44.0,26.4,80.0,80.0,2.8,10.4,0.36
Cadbury Dairy Milk Chunks 85g,221.0,11.8,6.9,25.6,22.1,0.7,3.5,0.22
Cadbury Dairy Milk Little Bars Chocolate Bar 6 Pack 6 x 18g,576.0,33.0,19.8,60.0,60.0,1.8,7.8,0.24
Cadbury Drinking Chocolate Hot Chocolate Tub 500g,2020.0,29.0,17.0,380.0,365.0,46.5,32.0,0.1
Cadbury Flake Twinpot 85G 85g,207.0,10.7,6.6,24.2,20.6,0.8,3.9,0.15
Cadbury Timeout Wafer Biscuits 7 Pack 7 x 21.2g,784.0,42.7,23.8,91.0,67.2,2.8,9.8,0.49
Cadbury Twin Pot Limited Edition  85g,234.0,11.6,6.6,29.2,24.3,0.8,3.6,0.15
Cadbury Twirl Chocolate Bar 4 Pack 4 x 34g,360.0,19.6,11.6,40.0,39.6,1.6,4.8,0.16
Cadbury Wispa Chocolate Bar 4 Pack 4 x 30.5g,668.0,42.0,25.6,64.0,64.0,1.2,8.8,0.28
Cathedral City 6 Slices Mature Cheese 150g,624.0,52.35,32.55,0.15,0.15,0.0,38.1,2.7
Cathedral City Extra Mature Cheese 350g,1456.0,122.15,75.95,0.35,0.35,0.0,88.9,6.3
Cathedral City Grated Lighter Cheese 180g,603.0,43.2,29.52,2.88,0.18,0.0,50.76,3.24
Cathedral City Grated Mature Cheese 180g,745.2,61.56,38.52,2.88,0.18,0.0,44.82,3.24
Cathedral City Kids Snack Nibbles Mild Lighter Cheese 6 x 16g,318.0,22.8,15.6,0.0,0.0,0.0,27.6,1.8
