Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Energy ,988kJ,958kJ,,8400kJ,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,237kcal,230kcal,11%,2000kcal,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,16.2g,15.7g,22%,70g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,2.3g,2.2g,11%,20g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,0.5g,0.5g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,0.1g,0.1g,<1%,90g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,0.3g,0.3g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,22.2g,21.5g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.19g,0.18g,3%,6g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega 3:,2.3g,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
