Typical Values,per 100 g,Per average slice (20.4g),Adult RI*,% RI* per Slice,item name,per average slice (28.6g),% RI* Per Slice,Per 100g,Per Wrap,Adult RI,% RI per Serving,(as consumed) per 100g,(as consumed) per crumpet,%RI,your RI*,(cooked as instructions) per 100g,(cooked as instructions) per tart,Per 100g of product,Per average roll (55g),Reference Intake (Adult),per 100g,per pain au chocolat (45g),per pain au chocolat (45g) % RI,per pitta (60g),per croissant,per croiussant %RI,per éclair,Per 1 Whooo! Crêpe (32g),Per pie (59g),Per Average Bagel Thin,Per bakewell (46g),per vanilla slice,% Reference Intake,Reference Intake
Energy (kJ/kcal),1046kJ/,213kJ/,8400kJ/,3%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249kcal,51kcal,2000kcal,,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,2.2g,0.4g,70g,1%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(of which Saturates) ,0.7g,0.1g,20g,1%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,44.0g,9.0g,260g,3%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(of which Sugars) ,2.7g,0.6g,90g,1%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,4.4g,0.9g,,,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,11.1g,2.3g,50g,5%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,1.0g,0.2g,6g,3%,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ/2000kcal),,,,,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 20 slices,,,,,Weight Watchers Malted Danish 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy  (kJ/kcal),945kJ/,,8400kJ/,,Weight Watchers Thick Wholemeal Loaf 400g,270kJ/,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,225kcal,,2000kcal,,Weight Watchers Thick Wholemeal Loaf 400g,64kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,2.2g,,70g,,Weight Watchers Thick Wholemeal Loaf 400g,0.6g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (of which Saturates),0.7g,,20g,,Weight Watchers Thick Wholemeal Loaf 400g,0.2g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,38.4g,,260g,,Weight Watchers Thick Wholemeal Loaf 400g,11.0g,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (of which Sugars),2.6g,,90g,,Weight Watchers Thick Wholemeal Loaf 400g,0.7g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,6.0g,,,,Weight Watchers Thick Wholemeal Loaf 400g,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,10.0g,,50g,,Weight Watchers Thick Wholemeal Loaf 400g,2.9g,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,1.0g,,6g,,Weight Watchers Thick Wholemeal Loaf 400g,0.3g,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ/2000kcal),,,,,Weight Watchers Thick Wholemeal Loaf 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 14 slices,,,,,Weight Watchers Thick Wholemeal Loaf 400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ/kcal),,,,,Weight Watchers Wraps 6 per pack,,,1041kJ,500kJ,8400kJ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Weight Watchers Wraps 6 per pack,,,247kcal,118kcal,2000kcal,6%,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,,Weight Watchers Wraps 6 per pack,,,1.6g,0.8g,70g,1%,,,,,,,,,,,,,,,,,,,,,,,
(of which Saturates),,,,,Weight Watchers Wraps 6 per pack,,,0.6g,0.3g,20g,2%,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Weight Watchers Wraps 6 per pack,,,46.3g,22.2g,260g,9%,,,,,,,,,,,,,,,,,,,,,,,
(of which Sugars),,,,,Weight Watchers Wraps 6 per pack,,,2.4g,1.2g,90g,1%,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Weight Watchers Wraps 6 per pack,,,9.6g,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Weight Watchers Wraps 6 per pack,,,6.9g,3.3g,50g,7%,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,,Weight Watchers Wraps 6 per pack,,,0.51g,0.25g,6g,4%,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,798kJ/188kcal,455kJ/107kcal,5%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,
Fat ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,0.7g,0.4g,1%,70g,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,0.2g,0.1g,<1%,20g,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,38.1g,21.7g,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,2.1g,1.2g,1%,90g,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,2.4g,1.4g,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,6.2g,3.5g,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,1.1g,0.63g,10%,6g,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons 6 Crumpets 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
