Typical Values,Per 100g,Per Serving 1tsp (4g),item name,Per 25g(%*) Pack,Per 100g as sold,Per serving*,% RI** per serving*,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),%RI,your RI*,Per 1/2 can,%RI*,(as consumed) per 1/2 can (200g),per 1/2 can (200g) %RI,(drained) per 100g,(drained) per 1/2 can (51g),per 1/2 can (51g) %RI,Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,per 180g cooked pasta (approx. 75g dry pasta) %RI,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,Per half can,Per 130g Portion (1/3 Can),per 100g,per digestive (approx. 17g),Per 30g(%*) serving,per 100g (1/3 can serving),Per can,per can,Per serving (1 biscuit)*,% RI** per serving,RI** Adults,per 1/2 can (200g),Per 50ml Portion as prepared,Per 200g Portion (1/2 Can),Per 16.5g(%*),Per 16g(%*) Pack,per 30g portion,per 30g portion %RI,per 2 biscuits,per 2 biscuits %RI,per 100ml infusion:,Per 100 g,Per Finger (17 g),*Reference Intakes,/100g,/30g,per 100g drained,Per 1/2 can drained serving,Per 18 g (%*) Pack,Per 125g portion,Per Biscuit (16.7g),per 25g portion (approx. 3 marshmallows),per 25g portion (approx. 3 marshmallows) %RI,Per Serving (18 g + 200 ml semi-skimmed milk),Per 100ml portion of stock as prepared,(as sold) Per 100g,(as sold) Per Poppadom (8.5g),% Reference Intake,Per Serving (15g),per 100g:,Per 30g Serving,Per Portion (15 g),Per bar (36 g),Per portion (94g) (%*),Per bar (21.2 g),(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 50ml portion as prepared,Per 12 Pack As Prepared (183g),Per 100ml Prepared,Per 22g(%*) pack,Per 22g(%*) Pack,Per Bar (30.5 g),Per 100ml,Per mug**,Reference Intake*,% RI*,Per 27g,Per 27g1 (%*),Per 30g(%*) Pack,per 100 g,per 28 g,RI* per 28 g,Per Biscuit (3.8g),(as sold) per 100g,(as sold) per 1/4 jar (125g),Per 40g (%*),Per pot,as sold Per 100g,as sold Per 1 tbsp (20g),per 40g portion,per 40g portion %RI,Per 1/2 Can,Per Biscuit (10.1g),/ 100g,/ 42g (%*),Per Biscuit,per 2 cookies (22g),Per Pack 24g(%*),Per 15 g,Per 36g,Per 36g1 (%*),Per Biscuit (4.9g),Per Pack (25g),per: 100g uncooked,per: 75g uncooked,per Jaffa cake (approx. 13g),as sold (Per 1/2 bag (30g) portion,Per 25g serving,Approx. % of RI per 25g serving,Reference Intake - based on the intake of an average adult,(as consumed) per 1/2 can (200g) ,Per portion (125g) (%*),(as consumed) (prepared with boiling water) per 100g,(as consumed) (prepared with boiling water) per pot (225g when prepared),per pot (225g when prepared) %RI,Per 25g,Per bar (18 g),Per 100ml as prepared¿,Per portion**,%* Per portion**,"Each fajita (63g) (tortilla, salsa and seasoning mix as sold):",%* (63g),Per bar (26.1 g),  *Reference Intakes
Energy kJ,1700kJ,68kJ,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kcal,400kcal,16kcal,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0g,0g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates ,0g,0g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,100g,4g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars ,100g,4g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0g,0g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0g,0g,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of servings per pack 250,,,Silver Spoon Granulated Sugar  1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2070kJ,,Walkers Variety  24 x 25g,519kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
