Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Energy ,226kJ/53kcal,180kJ/43kcal,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.4g,0.3g,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates ,11.8g,9.4g,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,11.8g,9.4g,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.1g,trace,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,trace,trace,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,1.8g,1.4g,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,trace,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,trace,Morrisons Cox Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2869kJ/696kcal,,Morrisons Walnuts  200g,1147kJ/278kcal,14%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,68.5g,,Morrisons Walnuts  200g,27.4g,39%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
