Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
Energy ,1505 kJ/354 kcal,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.5g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates ,0.2g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,79.0g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars ,0.1g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,3.3g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,8.5g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.01g,Shahzada Basmati Rice 10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Full Green Cauli Rice Original 200g,84KJ/20Kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Full Green Cauli Rice Original 200g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
