Typical Values,(as sold) per 100g,(as sold) per 80g serving,%GDA,your GDA*,item name,(as sold) per 80g,per 100g,per 80g serving,(as sold) per 1/2 pack (160g),per 1/2 pack (160g) %RI,your RI*,(as consumed) per 100g ,(as consumed) per 1/2 pack (171g),per 1/2 pack (171g) %RI,per 1/2 pack (90g),%RI,(as sold) per 1/2 pack (175g), per 1/2 pack (175g) %RI, your RI*,(stir fried) per 100g,(stir fried) per 1/2 pack (143g),per 1/2 pack (143g) %RI,your RI* ,(as consumed) per 100g,(as consumed) per 1/2 pack (187g),per 1/2 pack (187g) %RI,per 1/2 pack (160g) % RI,(as consumed) per 1/2 pack (166g),per 1/2 pack (166g) %RI,(microwaved) per 100g,(microwaved) per 1/4 pack (approx. 111g),(as consumed) per 1/2 pack (147g),per teaspoon (5g),per teaspoon (5g) %RI,per 80g serving %GDA,per 100g (as sold):,per 80g:,GDA % values per 80g:,Recommended guideline daily amounts for adults (GDA):,(as sold) per 2 small potatoes (130g),per 2 small potatoes (130g) %GDA,per 80g,per 1/2 pack (125g), per 1/2 pack (125g) %RI,(as sold) per potato (175g),% GDA,(as sold)per 100g,per 80g %GDA,per 80g serving % GDA,your GDA *,(as sold) per 100g portion,per 100g portion %RI,(as sold) per 100g:,(as sold) per 80g:,For Peeled Potatoes Boiled in Unsalted Water Per 100g,For Peeled Potatoes Boiled in Unsalted Water Per 175g portion,%RI provided per 175g portion,RI*,per 80g serving %RI,per 80g serving:,GDA% values per 80g serving:,per 1/4 pack (40g),per 1/4 pack (40g) %RI,per 1/4 pack (81g),per 1/4 pack (81g) %RI,per 100g:,per 6 babycorn:,GDA % values per 6 babycorn:,4 tablespoons,per 80g portion,per 80g portion %RI,per 80g % GDA,(as consumed) per 1/2 pack (225g),(as sold) per 100g ,per 1/4 pack serving,per 1/4 pack serving %RI,(as sold) per 5g,(as sold) per 1/2 pack (187g),per 1/2 pack (187g) % RI,per 1/4 pack (approx. 87g),per 1/4 pack (approx. 87g) %RI,(microwaved) per 1/2 pack (162g),(as sold) per 1/2 pack (125g),per 1/2 pack (125g) % RI,(as sold) per serving,(boiled) per 100g,(boiled) per 1/4 pack (approx. 132g),per 1/4 pack (approx. 132g) %RI,per 1/2 pack (35g),per 1/2 pack (35g) %RI,(as sold) per 1/4 pack (125g),per 1/4 pack (125g) %RI,(as sold) per 175g serving,per 1/2 pack (150g),(as consumed) per 100g (1/2 pack),per serving,per 175g serving,(as sold) per 1/2 pack (200g),per 1/2 pack (200g) %RI,(as consumed) per 1/2 pack (200g),(as consumed) per 1/2 pack (79g),(as sold) per 1/2 pack (250g),per 1/2 pack (250g) %RI,(as consumed) per 1/2 pack (150g),100g contains:,1/2 of a pack (200g) contains:,(as consumed) per 1/2 pack (146g),(as consumed) per mini stuffed mushroom (26g),Two Croquettes (100g) contains:,1/4 of a pack (70g) contains:,Per 100g,(edible portion) per 100g,(edible portion) per 80g portion,per 1/2 pack (80g),per 1/2 pack (80g) %RI,(as sold) per 1/2 pack (180g),per 1/2 pack (180g) %RI
Energy ,507kJ/120kcal,406kJ/96kcal,4.8%,2000kcal,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,4.2g,3.4g,,,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,19.6g,15.7g,,,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,2.3g,1.8g,2%,90g,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,2.3g,1.8g,2.6%,70g,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,0.2g,0.2g,1%,20g,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,2.2g,1.8g,,,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,trace,,,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,trace,trace,6g,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,,,Morrisons Corn Cobettes  4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
